Word	POS	Entity_Value_Time	Event	Modality	Tense	Polarity	ID_Event	Argument
								
<s id="2606">	begin	O	O	O	O	O	O	O
تبعات		O	O	O	O	O	O	
باخت		O	O	O	O	O	O	
سنگین		O	O	O	O	O	O	
به		O	O	O	O	O	O	
استقلال		(B_Organization, EN_26_15532_12)	O	O	O	O	O	
؛		O	O	O	O	O	O	
دروازه‌بان		(B_Person, EN_26_15536_15)	O	O	O	O	O	(B_Target,EV_26_3632_210,EN_26_15536_15)
خارجی		(I_Person, EN_26_15536_15)	O	O	O	O	O	(I_Target,EV_26_3632_210,EN_26_15536_15)
ماشین‌سازی		(I_Person, EN_26_15536_15)	O	O	O	O	O	(I_Target,EV_26_3632_210,EN_26_15536_15)
دیپورت		O	(B_End Position, EV_26_3632_210)	Asserted	Past	Positive	EV_26_3632_210	
شد		O	(I_End Position, EV_26_3632_210)	O	O	O	EV_26_3632_210	
!		O	(I_End Position, EV_26_3632_210)	O	O	O	EV_26_3632_210	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2609">	begin	O	O	O	O	O	O	O
دبیر		(B_Person, EN_26_15551_15)	O	O	O	O	O	
جشنواره		(I_Person, EN_26_15551_15)	O	O	O	O	O	
تئاتر		(I_Person, EN_26_15551_15)	O	O	O	O	O	
فتح		(I_Person, EN_26_15551_15)	O	O	O	O	O	
خرمشهر		(I_Person, EN_26_15551_15)	O	O	O	O	O	
خبر		O	O	O	O	O	O	
داد		O	O	O	O	O	O	
600		(B_Numeric, EN_26_173070_19)	O	O	O	O	O	
اثر		(I_Numeric, EN_26_173070_19)	O	O	O	O	O	
نمایشی		(I_Numeric, EN_26_173070_19)	O	O	O	O	O	
از		O	O	O	O	O	O	
16		(B_Numeric, EN_26_173073_19)	O	O	O	O	O	
استان		(B_Location, EN_26_173074_14)	O	O	O	O	O	
کشور		(I_Location, EN_26_173074_14)	O	O	O	O	O	
به		O	O	O	O	O	O	
دبیرخانه		(B_Location, EN_26_15789_14)	O	O	O	O	O	
جشنواره		(I_Location, EN_26_15789_14)	O	O	O	O	O	
تئاتر		(I_Location, EN_26_15789_14)	O	O	O	O	O	
فتح		(I_Location, EN_26_15789_14)	O	O	O	O	O	
خرمشهر		(I_Location, EN_26_15789_14)	O	O	O	O	O	
رسید		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2610">	begin	O	O	O	O	O	O	O
دبیرکل		(B_Person, EN_26_15856_15)	O	O	O	O	O	(B_Participant,EV_26_3680_232,EN_26_15856_15)
حزب		(I_Person, EN_26_15856_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15856_15)
مردم‌سالاری		(I_Person, EN_26_15856_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15856_15)
در		O	O	O	O	O	O	
دیدار		O	(B_Meeting, EV_26_3680_232)	Asserted	Past	Positive	EV_26_3680_232	
با		O	O	O	O	O	O	
دبیرکل		(B_Person, EN_26_15859_15)	O	O	O	O	O	(B_Participant,EV_26_3680_232,EN_26_15859_15)
حزب		(I_Person, EN_26_15859_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15859_15)
جمهوری		(I_Person, EN_26_15859_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15859_15)
خلق		(I_Person, EN_26_15859_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15859_15)
ترکیه		(I_Person, EN_26_15859_15)	O	O	O	O	O	(I_Participant,EV_26_3680_232,EN_26_15859_15)
؛		O	O	O	O	O	O	
احزاب		(B_Organization, EN_26_15864_12)	O	O	O	O	O	(B_Source,EV_26_30065_226,EN_26_15864_12)
قانونی		(I_Organization, EN_26_15864_12)	O	O	O	O	O	(I_Source,EV_26_30065_226,EN_26_15864_12)
می‌توانند		O	O	O	O	O	O	
در		O	O	O	O	O	O	
توسعه		O	(B_Produce, EV_26_30064_214)	Asserted	Future	Positive	EV_26_30064_214	
